round,original_proofs,global_proofs,reduction_factor,round_latency_ms,throughput_proofs_per_sec,submit_gas,accept_gas,total_gas,avg_proof_latency_ms
1,100,10,10.00,82607,0.1211,3429578,772640,4202218,8247.40
2,100,10,10.00,82557,0.1211,3241466,772628,4014094,8242.90
3,100,10,10.00,82563,0.1211,3241466,772628,4014094,8243.10
4,100,10,10.00,82547,0.1211,3241454,772616,4014070,8241.90
5,100,10,10.00,82533,0.1212,3241466,772616,4014082,8240.30
6,100,10,10.00,82511,0.1212,3241478,772628,4014106,8238.10
7,100,10,10.00,82532,0.1212,3241478,772616,4014094,8240.50
8,100,10,10.00,82520,0.1212,3241490,772604,4014094,8239.20
9,100,10,10.00,82543,0.1211,3241430,772628,4014058,8240.90
10,100,10,10.00,82521,0.1212,3241394,772628,4014022,8238.80